ID	|T|	T	|V'|
T20.64	20	0,1,2,3,4,5,8,9,11,12,15,16,17,18,20,22,23,24,25,26	977
T20.65	20	0,1,3,4,5,6,7,8,9,12,13,14,15,18,19,20,21,22,24,25	999
T20.66	20	0,1,3,4,7,8,9,10,11,12,13,14,16,17,19,20,21,22,23,26	932
T20.67	20	0,1,2,3,4,5,6,7,8,11,14,17,18,19,20,21,22,23,24,26	1003
T20.68	20	0,1,2,3,6,7,8,9,10,12,14,15,16,17,18,21,22,23,24,26	960
T20.69	20	0,1,2,3,4,5,6,7,9,10,12,13,16,17,18,19,21,22,23,26	958
T20.70	20	0,1,4,5,6,7,8,10,11,13,14,15,16,17,18,19,21,22,23,25	968
T20.71	20	0,1,2,4,5,6,7,9,10,11,12,13,14,15,18,19,21,22,23,25	949
T20.72	20	0,1,3,4,6,7,9,10,11,12,14,15,16,17,19,20,21,24,25,26	834
T20.73	20	0,1,3,4,5,7,10,11,12,13,14,15,18,19,21,22,23,24,25,26	915
T20.74	20	0,1,2,3,4,6,7,8,9,10,11,15,17,18,21,22,23,24,25,26	951
T20.75	20	0,1,2,3,4,7,8,9,10,11,12,13,15,17,18,19,20,21,22,23	933
T20.76	20	1,2,3,5,6,9,10,11,12,15,16,17,18,19,20,21,22,23,24,25	927
T20.77	20	0,2,3,4,5,6,8,10,11,12,13,14,15,16,17,18,19,23,25,26	974
T20.78	20	0,1,3,5,6,7,9,10,11,12,13,14,15,16,17,20,22,23,25,26	921
T20.79	20	2,5,6,7,9,10,11,12,14,15,16,17,18,20,21,22,23,24,25,26	929
T20.80	20	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,19,21,22,23	1000
T20.81	20	1,3,5,6,7,8,9,10,11,12,15,16,18,19,20,21,22,23,24,25	1003
T20.82	20	0,1,2,3,4,5,7,8,10,12,13,14,15,16,20,21,22,23,24,26	976
T20.83	20	0,2,4,5,6,9,10,11,12,13,14,16,17,18,19,21,22,23,24,26	931
T20.84	20	0,1,2,3,4,6,7,8,10,11,12,13,14,15,17,18,19,22,25,26	912
T20.85	20	1,3,4,5,6,7,9,10,11,12,13,15,17,18,19,20,22,24,25,26	946
T20.86	20	0,1,2,5,6,7,8,10,11,12,14,16,17,18,19,20,22,24,25,26	972
T20.87	20	0,1,2,3,4,5,6,7,8,9,12,13,14,16,17,18,19,20,25,26	999
T20.88	20	0,1,2,4,5,9,10,11,12,13,15,16,17,18,20,21,23,24,25,26	875
T20.89	20	1,2,4,6,7,8,9,10,11,12,13,14,15,17,18,22,23,24,25,26	934
T20.90	20	0,2,4,5,6,7,9,11,12,13,17,18,19,20,21,22,23,24,25,26	955
T20.91	20	0,1,3,4,5,7,8,10,11,13,14,15,16,17,18,19,20,22,23,24	991
T20.92	20	1,3,4,6,7,8,9,10,11,13,14,16,17,18,20,21,22,23,24,25	956
T20.93	20	0,1,3,4,5,6,7,8,9,11,13,14,15,17,19,21,22,23,24,26	1001
T20.94	20	0,1,2,3,4,5,6,7,8,10,11,12,14,15,16,19,21,23,24,26	984
T20.95	20	0,2,3,5,6,7,8,9,11,13,14,15,17,18,19,21,23,24,25,26	1016
T20.96	20	0,2,3,7,8,9,10,12,13,14,15,16,17,18,19,20,22,24,25,26	923
T20.97	20	0,1,2,4,5,6,7,9,10,12,14,15,18,19,20,21,22,23,24,26	952
T20.98	20	0,1,2,4,5,6,8,10,11,12,13,14,15,16,18,19,21,22,24,26	935
T20.99	20	0,2,3,4,6,7,8,9,10,13,14,15,17,18,19,21,22,24,25,26	936
T20.100	20	1,2,4,5,6,7,8,9,10,12,14,16,17,18,19,20,21,23,25,26	992
